Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Male,Married - spouse present,White only,,State government,Food preparation and serving related occupations,,,5th-6th grade,Adult civilian household member,674.0,500-749,5696.2016
Male,Never married,White only,,State government,Food preparation and serving related occupations,Not enrolled,,High school graduate,Adult civilian household member,616.0,500-749,4227.123
Male,Married - spouse present,White only,United States,State government,Management occupations,,,Bachelor's degree,Adult civilian household member,1380.0,1250-1499,5058.2593
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2400.0,2000+,4853.1318
Male,Never married,White only,United States,Private nonprofit,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,3180.0,2000+,4584.2057
Male,Never married,Asian only,,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1250.0,1250-1499,5177.1123
Male,Married - spouse present,White only,,Private nonprofit,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2060.0,2000+,4161.3702
Female,Never married,White only,,State government,Healthcare support occupations,Enrolled,Part time,"Some college, no degree",Adult civilian household member,800.0,750-999,4194.8072
Male,Married - spouse present,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1290.0,1250-1499,1783.9536
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,116.0,<250,2436.3765
Male,Never married,White only,United States,Federal government,Management occupations,Not enrolled,,High school graduate,Adult civilian household member,1250.0,1250-1499,1942.049
Female,Divorced,White only,,Private for-profit,Protective service occupations,,,Bachelor's degree,Adult civilian household member,2500.0,2000+,5523.9171
Female,Never married,White only,United States,Private for-profit,Protective service occupations,Not enrolled,,Master's degree,Adult civilian household member,2500.0,2000+,4352.4532
Female,Divorced,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1440.0,1250-1499,926.439
Male,Never married,White only,United States,State government,Construction and extraction occupations,,,Associate degree - academic,Adult civilian household member,2080.0,2000+,2379.6804
Female,Divorced,White only,,Federal government,Management occupations,,,Master's degree,Adult civilian household member,2120.0,2000+,2602.8157
Male,Never married,White only,,Private for-profit,"Life, physical, and social science occupations",Not enrolled,,Doctorate degree,Adult civilian household member,2300.0,2000+,459.5834
Male,Never married,Asian-HP,American Samoa,Private nonprofit,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,826.0,750-999,767.846
Male,Divorced,White only,United States,Local government,Production occupations,Not enrolled,,High school graduate,Adult civilian household member,1780.0,1500-1999,2920.4361
Female,Never married,White only,United States,Local government,Business and financial operations occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2640.0,2000+,4152.3382
Male,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Master's degree,Adult civilian household member,8115.06,2000+,6837.969
Female,Married - spouse present,White only,United States,State government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,2760.0,2000+,6526.6005
Male,Married - spouse present,White only,United States,State government,Business and financial operations occupations,,,Master's degree,Adult civilian household member,8115.06,2000+,4647.3074
Female,Married - spouse present,White only,United States,State government,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,654.0,500-749,4825.6276
Male,Married - spouse present,White only,United States,State government,Management occupations,,,"Some college, no degree",Adult civilian household member,500.0,500-749,4692.9869
Male,Never married,White only,United States,State government,Office and administrative support occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,416.0,250-499,6177.4222
Male,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,528.0,500-749,6177.4222
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,960.0,750-999,6873.0991
Male,Never married,Black only,United States,Federal government,Computer and mathematical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1210.0,1000-1249,3926.2549
Female,Never married,Black only,United States,State government,Office and administrative support occupations,,,High school graduate,Adult civilian household member,1840.0,1500-1999,2851.3144
Male,Never married,Black only,United States,Federal government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,740.0,500-749,3926.2549
Male,Never married,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,950.0,750-999,916.3589
